date,pool_price,visser_prod,bissell_prod,month,combined_production,combined_revenue
2025-09-09,42.4795652173913,,7.06901,9,7.06901,300.2884713173912
2025-09-10,114.38521739130437,,34.930247950000016,9,34.930247950000016,3995.5040052929153
2025-09-11,234.68043478260867,,37.60927128333331,9,37.60927128333331,8826.16013662974
2025-09-12,31.4,,23.015261350000017,9,23.015261350000017,722.6792063900006
2025-09-13,81.10695652173914,,34.242599983333356,9,34.242599983333356,2777.313068039524
2025-09-14,38.918260869565216,,29.10735041666668,9,29.10735041666668,1132.8074567376816
2025-09-15,17.7,,18.33655333333333,9,18.33655333333333,324.556994
2025-09-16,219.0908695652174,,37.931419999999996,9,37.931419999999996,8310.427791643477
2025-09-17,14.820869565217391,,36.22452333333333,9,36.22452333333333,536.8789353855072
2025-09-18,37.329130434782606,,33.75682333333334,9,33.75682333333334,1260.112861273913
2025-09-19,239.04434782608692,,31.395259999999997,9,31.395259999999997,7504.859451530433
2025-09-20,12.071304347826086,,31.62146,9,31.62146,381.71226758260866
2025-09-21,0.777391304347826,,23.16002333333333,9,23.16002333333333,18.004400747826082
2025-09-22,17.15869565217391,,34.94072333333333,9,34.94072333333333,599.5372375434781
2025-09-23,93.8395652173913,,32.703250000000004,9,32.703250000000004,3068.8587611956523
2025-09-24,164.2786956521739,,15.115773333333335,9,15.115773333333335,2483.199526973913
2025-09-25,2.418260869565217,,30.08697666666667,9,30.08697666666667,72.75815835652172
2025-09-26,7.856086956521739,,32.06511666666667,9,32.06511666666667,251.9063448043478
2025-09-27,0.8626086956521739,,19.429656666666663,9,19.429656666666663,16.760190794202895
2025-09-28,17.344347826086956,,20.516193333333334,9,20.516193333333334,355.8399932405797
2025-09-29,5.56391304347826,,16.691406666666666,9,16.691406666666666,92.86953526666666
2025-09-30,47.47217391304348,,9.96975,9,9.96975,473.28570586956516
2025-10-01,6.757826086956522,,15.904233333333332,10,15.904233333333332,107.47804291304347
2025-10-02,35.83086956521739,,28.398479999999996,10,28.398479999999996,1017.5422327304346
2025-10-03,40.08304347826087,49.0,24.72232,10,36.86116,1477.5074789391304
2025-10-04,35.13608695652174,33.1,17.534986666666665,10,25.31749333333333,889.5576472811593
2025-10-05,14.227826086956522,57.8,29.25175,10,43.525875,619.2785797826087
2025-10-06,144.38304347826087,24.3,17.407059999999998,10,20.85353,3010.8961286652175
2025-10-07,10.663478260869566,30.2,18.91855,10,24.559275,261.8872950652174
